Date,Open,High,Low,Close,Volume
8/24/2020 16:00:00,168.78,178.27,167.93,178.27,39317105
8/25/2020 16:00:00,180.46,180.63,172.44,174.73,31318540
8/26/2020 16:00:00,173.8,174.43,171.35,171.9,16189790
8/27/2020 16:00:00,174.71,181.31,173.56,174.2,29548068
8/28/2020 16:00:00,175.11,177.28,172.57,175.8,20383897
8/31/2020 16:00:00,174.65,175.27,171.7,171.82,16264298
9/1/2020 16:00:00,170.71,175.49,169.25,172.1,18997415
9/2/2020 16:00:00,172.74,175,171.45,174.78,16552085
9/3/2020 16:00:00,175,180.85,168.12,168.77,27799393
9/4/2020 16:00:00,171.31,172.83,164,171.05,18867266
9/8/2020 16:00:00,165.8,166.9,160.5,161.08,22622677
9/9/2020 16:00:00,161.61,163.06,157,160.78,21951401
9/10/2020 16:00:00,160.96,163.78,157.57,157.69,14532586
9/11/2020 16:00:00,158,161.36,156.32,160.23,14722442
9/14/2020 16:00:00,161.75,165.94,158.9,165.35,17228433
9/15/2020 16:00:00,166.65,168.84,163.33,163.49,14881701
9/16/2020 16:00:00,161.95,170.57,160.31,167.46,21886252
9/17/2020 16:00:00,164.63,168.46,161.05,167.53,19717829
9/18/2020 16:00:00,165.66,169.72,161.02,161.14,22057120
9/21/2020 16:00:00,157.83,158.83,154.2,156.35,23125336
9/22/2020 16:00:00,156.81,160.07,154.95,156.8,17768918
9/23/2020 16:00:00,157.33,160.42,150.89,151.18,18247495
9/24/2020 16:00:00,150.29,150.31,145.02,146.05,27098139
9/25/2020 16:00:00,146.85,156.31,146.42,156.03,29123012
9/28/2020 16:00:00,160.33,168,159.2,166.08,38868155
9/29/2020 16:00:00,164.77,165.5,162.01,163.6,19920966
9/30/2020 16:00:00,164.5,170.98,164.11,165.26,38436691
10/1/2020 16:00:00,170.15,172.76,165.57,167.86,30677082
10/2/2020 16:00:00,161.86,169.78,161.8,168.08,31773793
10/5/2020 16:00:00,169.49,172.08,167.51,171.2,19082147
10/6/2020 16:00:00,173.04,175.56,159.33,159.54,47132549
10/7/2020 16:00:00,163.71,166.34,162.38,164.61,26019072
10/8/2020 16:00:00,166.22,168.09,163.54,168,20598604
10/9/2020 16:00:00,169.93,170,166.82,167.33,17405970
10/12/2020 16:00:00,167.75,169.2,165.95,167.35,12176639
10/13/2020 16:00:00,165.36,165.53,162.09,162.14,15182626
10/14/2020 16:00:00,162.7,165.17,162.49,163.24,10541785
10/15/2020 16:00:00,161.01,164.54,158.73,164.24,13226822
10/16/2020 16:00:00,171.22,173.42,167.27,167.35,31780625
10/19/2020 16:00:00,169.09,170.84,166.11,167.11,16519618
10/20/2020 16:00:00,168.29,169.29,166.18,167.24,12319920
10/21/2020 16:00:00,166.44,167.63,163.82,163.86,11450646
10/22/2020 16:00:00,164.7,169.63,164.1,169.07,14238164
10/23/2020 16:00:00,169.99,170.26,166.05,167.36,10024180
10/26/2020 16:00:00,164.95,165.5,159.05,160.83,16151140
10/27/2020 16:00:00,159.16,160.25,155,155.24,15491864
10/28/2020 16:00:00,153,153.95,148,148.14,20279768
10/29/2020 16:00:00,148.03,150.1,146.6,148.29,14554267
10/30/2020 16:00:00,147.2,149.17,141.58,144.39,15392753
11/2/2020 16:00:00,145.75,149.59,143.38,148.6,13854646
11/3/2020 16:00:00,151.83,154.82,150.64,153.65,12249773
11/4/2020 16:00:00,153.17,155.4,151.17,151.63,11344718
11/5/2020 16:00:00,152.48,157.63,152.1,157.09,12328321
11/6/2020 16:00:00,156.33,158.47,154.52,157.74,8995560
11/9/2020 16:00:00,179,184.46,172.16,179.36,49014412
11/10/2020 16:00:00,182.8,193.95,180.38,188.69,46404277
11/11/2020 16:00:00,189.89,190,180.41,182.15,29907750
11/12/2020 16:00:00,178.95,184.59,176.25,176.72,20336210
11/13/2020 16:00:00,179,187.27,178.71,187.11,19784797
11/16/2020 16:00:00,194.56,202.94,191.35,202.4,40562836
11/17/2020 16:00:00,200.25,211.2,196.05,210.05,38299287
11/18/2020 16:00:00,223.02,223.02,203,203.3,65990690
11/19/2020 16:00:00,200.45,209.44,199.9,205.67,34236071
11/20/2020 16:00:00,204.59,206.58,199.17,199.62,18230882
11/23/2020 16:00:00,203.24,214.21,201.87,211.53,28372397
11/24/2020 16:00:00,219.43,222.95,215.76,218.49,31131995
11/25/2020 16:00:00,217.71,221,213.09,217.61,19254143
11/27/2020 13:00:00,218.25,219.93,216.04,216.5,9970228
11/30/2020 16:00:00,215.7,217.78,208.52,210.71,16501856
12/1/2020 16:00:00,214.31,218.09,213,213.01,15805155
12/2/2020 16:00:00,213.01,224.99,210.3,223.85,25912263
12/3/2020 16:00:00,228.3,242,226.53,237.2,45945139
12/4/2020 16:00:00,236.36,238.18,230.25,232.71,29378368
12/7/2020 16:00:00,238.5,244.08,237.11,238.17,33246663
12/8/2020 16:00:00,238.7,241.7,234.46,236.57,19682031
12/9/2020 16:00:00,238.64,240.84,228.28,232.06,19043597
12/10/2020 16:00:00,228.1,237.01,228.02,234.43,16185032
12/11/2020 16:00:00,232.82,236.22,228.33,230.33,17311799
12/14/2020 16:00:00,235,237.63,228.37,228.62,19231239
12/15/2020 16:00:00,230,232.5,224.36,229.5,19013191
12/16/2020 16:00:00,229.33,232.37,225.3,225.87,17858394
12/17/2020 16:00:00,227.24,228.49,220.53,221.24,17465600
12/18/2020 16:00:00,222.05,223.46,218.61,219.75,19092763
12/21/2020 16:00:00,212.34,219.43,211.1,219.31,18726505
12/22/2020 16:00:00,223.28,223.89,217.7,218.78,13326166
12/23/2020 16:00:00,219.55,224.4,219.32,219.69,10869007
12/24/2020 13:00:00,219.62,219.88,216.05,217.15,6398510
12/28/2020 16:00:00,218.19,219.2,215.16,216.09,9090579
12/29/2020 16:00:00,218.3,221.68,215.4,216.25,14593765
12/30/2020 16:00:00,216.36,218.55,214.37,216.67,10812617
12/31/2020 16:00:00,216.24,216.9,212.7,214.06,10487567
1/4/2021 16:00:00,210,210.2,202.49,202.72,21225594
1/5/2021 16:00:00,204.74,213.35,204.6,211.63,19338304
1/6/2021 16:00:00,210.22,215.61,209.34,211.03,16202157
1/7/2021 16:00:00,213.39,216.6,211.78,212.71,14474098
1/8/2021 16:00:00,213.61,214.1,208.16,209.9,14144017
1/11/2021 16:00:00,203.03,207.78,201.01,206.79,16789281
1/12/2021 16:00:00,206.65,209.06,204.81,208.41,12836218
1/13/2021 16:00:00,207.15,208.79,204.85,207.21,8570469
1/14/2021 16:00:00,208.79,214.19,208.21,209.91,12446820
1/15/2021 16:00:00,208.96,209.25,204.2,204.32,11103341
1/19/2021 16:00:00,206.99,211.52,206.52,210.71,11947219
1/20/2021 16:00:00,213.24,215.59,211.21,211.45,9727036
1/21/2021 16:00:00,211.72,211.93,206.34,207.41,11119827
1/22/2021 16:00:00,205.55,206.7,204.27,205.84,7514630
1/25/2021 16:00:00,203.27,203.8,199.3,203.36,14276235
1/26/2021 16:00:00,205.34,208.35,201.79,202.06,11011763
1/27/2021 16:00:00,196.9,199.47,191.85,194.03,20948458
1/28/2021 16:00:00,198.05,200.42,196,197.23,10403214
1/29/2021 16:00:00,198.3,201.57,193.12,194.19,13683736
2/1/2021 16:00:00,196,197.38,192.86,195.84,9061904
2/2/2021 16:00:00,198.98,203.03,198.09,200.94,11130617
2/3/2021 16:00:00,202,208.16,201.26,207.39,11836856
2/4/2021 16:00:00,209.87,212.48,208.02,210.64,11869930
2/5/2021 16:00:00,212.25,213.2,206.66,207.93,9546076
2/8/2021 16:00:00,209.55,211.99,208.3,211.95,11182088
2/9/2021 16:00:00,210.6,216.73,208.9,215.12,13615661
2/10/2021 16:00:00,215.65,217.49,211.12,211.92,11510719
2/11/2021 16:00:00,212.24,213.99,208.57,210.66,7140235
2/12/2021 16:00:00,210.36,213.16,209.67,210.98,6010791
2/16/2021 16:00:00,213.08,217.4,212.33,217.18,10171133
2/17/2021 16:00:00,215.52,218.71,212.68,215.52,9295592
2/18/2021 16:00:00,213.45,214.34,208.08,208.48,9121302
2/19/2021 16:00:00,209.97,217.64,209.15,217.47,12415284
2/22/2021 16:00:00,211.89,220.39,210.8,212.88,21413745
2/23/2021 16:00:00,214.15,214.75,206.6,212.12,15996695
2/24/2021 16:00:00,212.1,229.61,211.6,229.34,30709277
2/25/2021 16:00:00,227.8,228.5,214.71,216.45,19283014
2/26/2021 16:00:00,218.51,220.66,211.29,212.01,12838426
3/1/2021 16:00:00,219.6,226.98,219.02,224.39,18735442
3/2/2021 16:00:00,224.79,227.19,222.15,223.14,11114402
3/3/2021 16:00:00,226.36,235.4,225.04,228.56,30426042
3/4/2021 16:00:00,232.73,237.1,218.7,224.71,26645062
3/5/2021 16:00:00,229.01,229.92,213.8,223.22,20026576
3/8/2021 16:00:00,226.67,229.89,223.71,224.03,13836761
3/9/2021 16:00:00,226.81,234.06,222.58,230.61,21001194
3/10/2021 16:00:00,233.81,246.8,232.88,245.34,27753366
3/11/2021 16:00:00,248.77,256.65,246.55,252,30139245
3/12/2021 16:00:00,253.86,269.72,253.5,269.19,35264331
3/15/2021 16:00:00,274.15,278.57,264.33,265.63,34889116
3/16/2021 16:00:00,263.23,264.17,254.02,255.21,28785798
3/17/2021 16:00:00,254.7,263.61,253.68,263.59,23785524
3/18/2021 16:00:00,261.32,267.37,254.73,256.06,24595516
3/19/2021 16:00:00,257.75,258.88,251.31,255.82,17330779
3/22/2021 16:00:00,255.82,257.67,250.16,251.23,15230028
3/23/2021 16:00:00,249.26,251.3,239.43,241.25,21358225
3/24/2021 16:00:00,243.75,248.8,239.06,239.24,24055110
3/25/2021 16:00:00,234.34,247.58,231.7,247.19,27553588
3/26/2021 16:00:00,249.62,250.9,240.3,244.87,17157068
3/29/2021 16:00:00,251.3,254.71,248.03,250.52,22198781
3/30/2021 16:00:00,251.24,253.5,248.91,252.01,12577251
3/31/2021 16:00:00,254.7,257.88,253.36,254.72,14138489
4/1/2021 16:00:00,256.67,257.88,251.31,252.96,10934489
4/5/2021 16:00:00,256.56,260.48,256.25,259.36,13750297
4/6/2021 16:00:00,257.21,259.35,254.66,255.17,11180296
4/7/2021 16:00:00,255.31,255.9,250.83,252.58,9925745
4/8/2021 16:00:00,251.7,254.95,249.31,254.95,9899948
4/9/2021 16:00:00,250.51,252.84,249.44,252.36,12255890
4/12/2021 16:00:00,250.57,251.55,246.29,249.52,10383610
4/13/2021 16:00:00,248.33,254.49,246.1,253.27,15901401
4/14/2021 16:00:00,255.32,258.37,251.28,252.43,12661806
4/15/2021 16:00:00,253.56,254.12,249.43,251.11,9479008
4/16/2021 16:00:00,252,253.05,246.23,248.18,14605952
4/19/2021 16:00:00,247,247,242.22,244.15,9249340
4/20/2021 16:00:00,241.03,241.09,232.34,234.06,19483582
4/21/2021 16:00:00,232.22,236.76,230.22,235.92,12847033
4/22/2021 16:00:00,235.96,239.65,233.38,234.33,13854396
4/23/2021 16:00:00,233.89,238.58,233.11,238.38,11553322
4/26/2021 16:00:00,240.24,244.65,240.1,241.44,10599561
4/27/2021 16:00:00,241.88,243.49,239.41,242.47,10583259
4/28/2021 16:00:00,239,239.65,232.85,235.46,19054131
4/29/2021 16:00:00,237,237.68,231.8,235.94,12296078
4/30/2021 16:00:00,233.68,236.77,232.7,234.31,10380437
5/3/2021 16:00:00,234.11,237.1,233.81,235.19,9887848
5/4/2021 16:00:00,235.75,236.65,225.65,233.63,17807207
5/5/2021 16:00:00,232.45,233.49,227.56,228.18,14913467
5/6/2021 16:00:00,229.3,231.17,226.55,229.81,11857109
5/7/2021 16:00:00,229.8,235.91,227.99,235.47,12822993
5/10/2021 16:00:00,236.84,241.1,232.5,232.93,14813935
5/11/2021 16:00:00,226.56,230.13,223.85,228.88,16273165
5/12/2021 16:00:00,227.25,229.74,220.63,220.78,14931188
5/13/2021 16:00:00,223,229.27,219.07,222.64,16503373
5/14/2021 16:00:00,225.99,228.81,224.35,228.47,10162396
5/17/2021 16:00:00,226.24,228.26,223.58,227.98,9559323
5/18/2021 16:00:00,227.25,232.27,226.43,227.55,10081074
5/19/2021 16:00:00,223.18,225.12,220.28,224.42,13162733
5/20/2021 16:00:00,225.13,228.44,223.77,227.65,9218913
5/21/2021 16:00:00,232.9,236.3,231.39,234.82,16578995
5/24/2021 16:00:00,235.14,238.5,232.6,237.44,10105966
5/25/2021 16:00:00,240,243.78,239.23,240.74,12908035
5/26/2021 16:00:00,241.7,242.49,239.87,241.37,7240189
5/27/2021 16:00:00,248.11,252.6,247.19,250.7,18404388
5/28/2021 16:00:00,247.48,248.98,245.37,247.02,11197398
6/1/2021 16:00:00,253,255.64,251.52,254.73,13562787
6/2/2021 16:00:00,255.6,258.4,254.62,255.62,10820398
6/3/2021 16:00:00,252.98,254.8,249.69,250.32,10401952
6/4/2021 16:00:00,251.51,251.8,248.49,249.92,8798961
6/7/2021 16:00:00,251.5,253.2,248.81,252.66,10605972
6/8/2021 16:00:00,256.26,256.31,250,252.76,15113870
6/9/2021 16:00:00,251.2,253.17,247.91,248.06,10693220
6/10/2021 16:00:00,251.72,255.14,248.1,248.34,14519161
6/11/2021 16:00:00,250.35,251.12,245.78,247.28,9934179
6/14/2021 16:00:00,246.44,249.2,244.4,245.14,9344427
6/15/2021 16:00:00,245.36,248.51,244.94,246.54,10630916
6/16/2021 16:00:00,245.25,246.06,241.55,242.27,10529196
6/17/2021 16:00:00,241.96,243.5,237.33,239.22,10774398
6/18/2021 16:00:00,237.79,239.31,235.8,237.35,11965015
6/21/2021 16:00:00,238.66,245.62,237.25,245.28,15301780
6/22/2021 16:00:00,244.5,244.63,241.08,243.78,10042509
6/23/2021 16:00:00,244.8,246.87,243.17,243.57,9874664
6/24/2021 16:00:00,245.2,250.74,243.7,250.57,13755551
